N                   l2                  I1                  I2                  I3                  q                   F1                  F2                  F3                  Ma                  M1                  M2                  M3                  M4                  M5                  X1                  X2                  
161                 4.0                 3e-005              2e-005              1e-005              3000                2600                11000               1000                9300.0              9466.66666667       -10700.0            -3500.0             -1500.0             1.81898940355e-012  654.809027778       1463.26822917       
162                 2.0                 1e-005              2e-005              1e-005              8500                4600                18000               3000                -11100.0            3958.82352941       -15100.0            -7500.0             -4500.0             -1.81898940355e-012 17.2160243408       1158.20444557       
163                 2.0                 4e-005              4e-005              3e-005              7000                5100                17000               1000                3400.0              12042.8571429       -8600.0             -2500.0             -1500.0             1.81898940355e-012  2238.6433869        2492.39415946       
164                 3.5                 2e-005              2e-005              1e-005              6500                2600                19000               3000                4450.0              8219.23076923       -19550.0            -9750.0             -4500.0             -3.63797880709e-012 704.541742168       2484.65458776       
165                 2.0                 3e-005              1e-005              4e-005              3000                9600                11000               2500                1650.0              1816.66666667       -18350.0            -6250.0             -3750.0             3.63797880709e-012  -214.268867925      1808.96226415       
166                 2.0                 1e-005              4e-005              1e-005              5000                100                 16000               3500                11650.0             13250.0             -12350.0            -8750.0             -5250.0             0.0                 2885.90175953       3877.37475562       
167                 3.0                 3e-005              1e-005              4e-005              7500                100                 17000               1000                3350.0              14616.6666667       -4650.0             -3000.0             -1500.0             0.0                 2129.07179721       2854.02151639       
168                 4.0                 2e-005              4e-005              1e-005              6000                100                 13000               1500                -4450.0             5633.33333333       -8450.0             -5250.0             -2250.0             -3.63797880709e-012 391.010924636       1005.57017891       
169                 3.0                 1e-005              4e-005              1e-005              5000                4100                18000               4500                5600.0              6000.0              -26400.0            -13500.0            -6750.0             0.0                 513.315117212       3126.7669231        
170                 3.5                 2e-005              4e-005              1e-005              5500                2100                16000               2000                6325.0              9597.72727273       -13675.0            -6500.0             -3000.0             0.0                 1142.46524972       2117.77619345       
171                 3.5                 1e-005              2e-005              4e-005              5000                5600                18000               3500                4700.0              5100.0              -27300.0            -11375.0            -5250.0             0.0                 620.246439712       4249.18436638       
172                 2.0                 3e-005              2e-005              1e-005              2500                3100                8000                2000                1900.0              2700.0              -10100.0            -5000.0             -3000.0             0.0                 242.465408805       1103.69339623       
173                 2.0                 1e-005              1e-005              1e-005              4000                4100                12000               3000                1400.0              3400.0              -14600.0            -7500.0             -4500.0             0.0                 602.308917197       2172.86358811       
174                 2.5                 2e-005              2e-005              1e-005              6000                8600                18000               2500                3250.0              6250.0              -20750.0            -6875.0             -3750.0             0.0                 543.944826317       2037.9420395        
175                 2.5                 4e-005              1e-005              3e-005              7000                1100                17000               1500                4625.0              13267.8571429       -7375.0             -4125.0             -2250.0             1.81898940355e-012  2081.45759303       2971.66349719       
176                 2.0                 1e-005              4e-005              2e-005              7000                2600                17000               4000                -4600.0             4042.85714286       -16600.0            -10000.0            -6000.0             0.0                 667.524752475       2312.1039604        
177                 2.5                 1e-005              2e-005              1e-005              5000                2600                11000               2000                -7250.0             850.0               -11250.0            -5500.0             -3000.0             -1.81898940355e-012 -268.488012125      693.733778916       
178                 4.0                 3e-005              4e-005              4e-005              4500                5100                16000               2500                4050.0              4494.44444444       -23950.0            -8750.0             -3750.0             3.63797880709e-012  85.2568167406       2545.75439918       
179                 3.0                 3e-005              3e-005              1e-005              5500                6600                15000               1500                -650.0              3804.54545455       -16650.0            -4500.0             -2250.0             0.0                 -23.2949888772      936.950079031       
180                 3.0                 1e-005              3e-005              1e-005              4000                600                 12000               3500                -650.0              1350.0              -16650.0            -10500.0            -5250.0             0.0                 65.8543485289       1848.5178225        
181                 3.0                 2e-005              3e-005              2e-005              4500                100                 15000               3000                10350.0             11350.0             -13650.0            -9000.0             -4500.0             3.63797880709e-012  1810.79027356       3457.15235562       
182                 4.0                 3e-005              1e-005              4e-005              5000                4100                14000               1000                2300.0              5900.0              -13700.0            -3500.0             -1500.0             0.0                 194.964876323       1479.94961373       
183                 4.0                 2e-005              1e-005              1e-005              5000                3600                17000               3500                1550.0              2450.0              -26450.0            -12250.0            -5250.0             0.0                 -745.821074636      1904.70298467       
184                 2.5                 2e-005              2e-005              4e-005              7000                4600                15000               2500                -11750.0            321.428571429       -15750.0            -6875.0             -3750.0             1.81898940355e-012  -547.558442616      1054.88540564       
185                 3.5                 2e-005              3e-005              4e-005              4500                1100                15000               1000                17075.0             18075.0             -6925.0             -3250.0             -1500.0             3.63797880709e-012  2859.6933332        3964.31561708       
186                 3.5                 2e-005              1e-005              3e-005              5500                2600                19000               2500                14950.0             15768.1818182       -17050.0            -8125.0             -3750.0             0.0                 1963.87714499       4312.51522339       
187                 3.0                 1e-005              2e-005              3e-005              4500                6100                14000               2500                -400.0              1377.77777778       -20400.0            -7500.0             -3750.0             0.0                 133.18275776        2520.67485032       
188                 2.5                 4e-005              1e-005              2e-005              6000                6600                16000               1500                1750.0              7083.33333333       -14250.0            -4125.0             -2250.0             -3.63797880709e-012 526.459295744       1735.67043091       
189                 2.5                 3e-005              4e-005              3e-005              8000                4100                19000               4000                -9125.0             1437.5              -21125.0            -11000.0            -6000.0             0.0                 -248.198286734      1858.71834521       
190                 3.0                 4e-005              3e-005              1e-005              5500                4600                15000               1500                2350.0              6804.54545455       -13650.0            -4500.0             -2250.0             -1.81898940355e-012 499.982566248       1275.8498954        
191                 2.5                 2e-005              1e-005              2e-005              7000                4100                15000               2000                -9125.0             2946.42857143       -13125.0            -5500.0             -3000.0             1.81898940355e-012  -146.383972583      1140.47230275       
192                 3.5                 1e-005              4e-005              4e-005              7500                100                 18000               2000                1825.0              11425.0             -10175.0            -6500.0             -3000.0             0.0                 1742.20845696       2945.19577723       
193                 2.5                 2e-005              2e-005              1e-005              4500                4100                16000               1000                18875.0             19319.4444444       -9125.0             -2750.0             -1500.0             3.63797880709e-012  3221.58480004       3581.47945237       
194                 2.0                 2e-005              3e-005              1e-005              6500                3100                18000               5000                -600.0              4323.07692308       -20600.0            -12500.0            -7500.0             0.0                 578.533057851       2438.10433884       
195                 2.0                 2e-005              2e-005              2e-005              4500                5100                16000               2000                15900.0             16344.4444444       -12100.0            -5000.0             -3000.0             3.63797880709e-012  3290.20700637       4244.15472399       
196                 3.0                 4e-005              3e-005              4e-005              4500                5600                15000               1000                11100.0             12100.0             -12900.0            -3000.0             -1500.0             3.63797880709e-012  1666.54411765       2788.98371849       
197                 2.0                 1e-005              2e-005              4e-005              7500                5600                19000               2500                1650.0              9716.66666667       -14350.0            -6250.0             -3750.0             3.63797880709e-012  2101.51983788       3518.9157601        
198                 2.0                 4e-005              3e-005              1e-005              5000                4600                14000               1000                7900.0              11500.0             -8100.0             -2500.0             -1500.0             0.0                 2100.75150301       2194.0756513        
199                 3.0                 1e-005              3e-005              1e-005              7500                600                 17000               2000                -1900.0             9366.66666667       -9900.0             -6000.0             -3000.0             0.0                 1238.44164242       1902.69762367       
